country_name,iso3_code,year,value,income_level,weight,value_annotation
Algeria,DZA,2023,10773780896.24031,Lower middle income,10773780896.24031,$10.8 billion
Angola,AGO,2023,2795608829.400667,Lower middle income,3844654363.4670887,$2.8 billion
Benin,BEN,2023,656561357.6042372,Lower middle income,1297049315.448462,$656.6 million
Botswana,BWA,2023,1214319651.6326816,Upper middle income,2057073301.3039172,$1.2 billion
Burkina Faso,BFA,2023,1651743677.8197455,Low income,2590937816.578554,$1.7 billion
Cameroon,CMR,2023,2244278583.985556,Lower middle income,3260675452.174787,$2.2 billion
Chad,TCD,2023,916475701.8367618,Low income,1665676721.6330123,$916.5 million
Côte d’Ivoire,CIV,2023,2732637507.121731,Lower middle income,3779518876.645125,$2.7 billion
DR Congo,COD,2023,2478810895.574108,Low income,3513035571.6397367,$2.5 billion
Ethiopia,ETH,2023,4478273887.964744,Low income,5474355395.211186,$4.5 billion
Gabon,GAB,2023,628607890.754751,Upper middle income,1255407940.431725,$628.6 million
Ghana,GHA,2023,2373847924.154004,Lower middle income,3400867171.92943,$2.4 billion
Guinea,GIN,2023,854677852.227041,Low income,1580708677.7469804,$854.7 million
Kenya,KEN,2023,4701545866.415617,Lower middle income,5677805457.945131,$4.7 billion
Liberia,LBR,2023,570952404.572009,Low income,1168019059.9954295,$571 million
Madagascar,MDG,2023,544058167.4845806,Low income,1126507275.0944927,$544.1 million
Malawi,MWI,2023,870911231.7030134,Low income,1603173105.4421318,$870.9 million
Mali,MLI,2023,807680866.2362313,Low income,1515060047.8804283,$807.7 million
Mauritius,MUS,2023,784794317.2460871,Upper middle income,1482746430.5469463,$784.8 million
Mozambique,MOZ,2023,1781374122.877079,Low income,2741993080.0993624,$1.8 billion
Namibia,NAM,2023,1176617332.068091,Upper middle income,2008983783.213814,$1.2 billion
Niger,NER,2023,680497018.0829419,Low income,1332354121.9587066,$680.5 million
Nigeria,NGA,2023,15227159530.901424,Lower middle income,15227159530.901424,$15.2 billion
Rwanda,RWA,2023,734790931.3449346,Low income,1411311371.2770689,$734.8 million
Senegal,SEN,2023,1323761199.3920908,Lower middle income,2194609402.480676,$1.3 billion
South Africa,ZAF,2023,33919036186.97798,Upper middle income,33919036186.97798,$33.9 billion
South Sudan,SSD,2023,835482428.9798279,Low income,1554007070.7449715,$835.5 million
Togo,TGO,2023,554585385.5318707,Low income,1142816009.2979732,$554.6 million
Uganda,UGA,2023,2199919845.593454,Low income,3212218974.558029,$2.2 billion
Tanzania,TZA,2023,2415301207.412647,Lower middle income,3445311342.001091,$2.4 billion
Zambia,ZMB,2023,1648723039.2128088,Low income,2587383355.9284663,$1.6 billion
Zimbabwe,ZWE,2023,1028319091.7999998,Lower middle income,1815916706.8183632,$1 billion
Argentina,ARG,2023,66348815003.29066,Upper middle income,66348815003.29066,$66.3 billion
Bahamas,BHS,2023,903667968.75,High income,1648187691.2119324,$903.7 million
Bolivia,BOL,2023,3122763092.438495,Lower middle income,4177382839.9026284,$3.1 billion
Brazil,BRA,2023,213217441638.8393,Upper middle income,213217441638.8393,$213.2 billion
Canada,CAN,2023,243129893130.9405,High income,243129893130.9405,$243.1 billion
Chile,CHL,2023,34137970069.289383,High income,34137970069.289383,$34.1 billion
Colombia,COL,2023,29883485534.455,Upper middle income,29883485534.455,$29.9 billion
Costa Rica,CRI,2023,5939269111.195675,Upper middle income,6765497733.151331,$5.9 billion
Dominican Republic,DOM,2023,5539546851.183099,Upper middle income,6421044501.764152,$5.5 billion
Ecuador,ECU,2023,9160747070.31,Upper middle income,9363714622.971117,$9.2 billion
El Salvador,SLV,2023,3159197021.4800005,Lower middle income,4213883585.6553254,$3.2 billion
Guatemala,GTM,2023,7105158016.947342,Upper middle income,7738919082.375088,$7.1 billion
Haiti,HTI,2023,633245350.2638978,Lower middle income,1262347740.9439988,$633.2 million
Honduras,HND,2023,2652196689.408453,Lower middle income,3695764559.296187,$2.7 billion
Jamaica,JAM,2023,1477134594.9794135,Upper middle income,2382676339.4095025,$1.5 billion
Mexico,MEX,2023,98730452569.6755,Upper middle income,98730452569.6755,$98.7 billion
Nicaragua,NIC,2023,1477669652.1319387,Lower middle income,2383323611.3169203,$1.5 billion
Panama,PAN,2023,6945912109.379998,High income,7608463521.06316,$6.9 billion
Paraguay,PRY,2023,3603510640.102795,Upper middle income,4650978763.931832,$3.6 billion
Peru,PER,2023,15079125427.673096,Upper middle income,15079125427.673096,$15.1 billion
Trinidad and Tobago,TTO,2023,1918250811.6166,High income,2898538297.6537695,$1.9 billion
United States,USA,2023,4627736500000.0,High income,4627736500000.0,$4.6 trillion
Uruguay,URY,2023,7033974439.550021,High income,7680696233.08569,$7 billion
Afghanistan,AFG,2023,2448637747.111764,Low income,3480914892.917163,$2.4 billion
Bahrain,BHR,2023,1845638193.9893613,High income,2815852661.3422847,$1.8 billion
Egypt,EGY,2023,16196630908.502356,Lower middle income,16196630908.502356,$16.2 billion
Iran,IRN,2023,24197873638.027008,Lower middle income,24197873638.027008,$24.2 billion
Iraq,IRQ,2023,15022892190.47619,Upper middle income,15022892190.47619,$15 billion
Jordan,JOR,2023,3913399881.71831,Upper middle income,4947840266.646016,$3.9 billion
Kuwait,KWT,2023,8124911424.877522,High income,8557836331.578175,$8.1 billion
Lebanon,LBN,2023,1505795994.0365548,Lower middle income,2417266887.9901342,$1.5 billion
Libya,LBY,2023,3436607351.6226287,Upper middle income,4488460794.652172,$3.4 billion
Morocco,MAR,2023,8758635543.914196,Lower middle income,9053725885.035011,$8.8 billion
Palestine,PSE,2023,1869850952.1499996,Lower middle income,2843513158.900393,$1.9 billion
Oman,OMN,2023,3696271601.196359,High income,4740486418.778102,$3.7 billion
Pakistan,PAK,2023,7545442785.158365,Lower middle income,8095870408.414242,$7.5 billion
Qatar,QAT,2023,5375319260.818681,High income,6277738162.870496,$5.4 billion
Saudi Arabia,SAU,2023,60715800000.0,High income,60715800000.0,$60.7 billion
Sudan,SDN,2023,1055056249.5931236,Low income,1851214361.2648675,$1.1 billion
Syria,SYR,2023,786648990.0137521,Low income,1485373741.096267,$786.6 million
Tunisia,TUN,2023,3876197106.258307,Lower middle income,4912520658.877672,$3.9 billion
United Arab Emirates,ARE,2023,25557171119.80939,High income,25557171119.80939,$25.6 billion
Yemen,YEM,2023,1882135579.04221,Low income,2857512759.889704,$1.9 billion
Albania,ALB,2023,1660642139.4505436,Upper middle income,2601399429.05314,$1.7 billion
Armenia,ARM,2023,2257460991.912123,Upper middle income,3275029309.03444,$2.3 billion
Austria,AUT,2023,57068090993.62347,High income,57068090993.62347,$57.1 billion
Azerbaijan,AZE,2023,3093507869.9470587,Upper middle income,4147996859.5114822,$3.1 billion
Belarus,BLR,2023,5088613776.122232,Upper middle income,6024896865.042269,$5.1 billion
Belgium,BEL,2023,69646694524.8917,High income,69646694524.8917,$69.6 billion
Bosnia and Herzegovina,BIH,2023,2461697203.1327834,Upper middle income,3494829348.860872,$2.5 billion
Bulgaria,BGR,2023,8110419330.594416,Upper middle income,8546385562.77949,$8.1 billion
Croatia,HRV,2023,6032367568.673206,High income,6844880134.7175255,$6 billion
Cyprus,CYP,2023,2751741010.1762733,High income,3799318192.943998,$2.8 billion
Czechia,CZE,2023,28921240611.151337,High income,28921240611.151337,$28.9 billion
Denmark,DNK,2023,38726085361.76626,High income,38726085361.76626,$38.7 billion
Estonia,EST,2023,3084793873.9390774,High income,4139230507.914347,$3.1 billion
Finland,FIN,2023,30892804503.929462,High income,30892804503.929462,$30.9 billion
France,FRA,2023,351563085827.70264,High income,351563085827.70264,$351.6 billion
Georgia,GEO,2023,2110587342.1461189,Upper middle income,3113884479.924394,$2.1 billion
Germany,DEU,2023,531511413807.0827,High income,531511413807.0827,$531.5 billion
Greece,GRC,2023,20438438832.01761,High income,20438438832.01761,$20.4 billion
Hungary,HUN,2023,13630433963.470736,High income,13630433963.470736,$13.6 billion
Iceland,ISL,2023,2737948058.5709114,High income,3785026318.8771405,$2.7 billion
Ireland,IRL,2023,36256323215.57209,High income,36256323215.57209,$36.3 billion
Israel,ISR,2023,36356009878.44415,High income,36356009878.44415,$36.4 billion
Italy,ITA,2023,193715676021.2256,High income,193715676021.2256,$193.7 billion
Kazakhstan,KAZ,2023,9955947957.427689,Upper middle income,9966942741.634058,$10 billion
Kyrgyzstan,KGZ,2023,683661087.5625027,Lower middle income,1336997656.9080756,$683.7 million
Latvia,LVA,2023,3098330052.3440824,High income,4152845360.789873,$3.1 billion
Lithuania,LTU,2023,5840803203.9147835,High income,6681199350.853633,$5.8 billion
Luxembourg,LUX,2023,4963332289.736569,High income,5913301376.938929,$5 billion
Malta,MLT,2023,1964100621.397235,High income,2950344975.5569296,$2 billion
Montenegro,MNE,2023,727126264.9832377,Upper middle income,1400255780.7412457,$727.1 million
Netherlands,NLD,2023,113490985905.37776,High income,113490985905.37776,$113.5 billion
North Macedonia,MKD,2023,1171284851.170504,Upper middle income,2002151306.0719318,$1.2 billion
Norway,NOR,2023,45538564394.1139,High income,45538564394.1139,$45.5 billion
Poland,POL,2023,57996723478.69711,High income,57996723478.69711,$58 billion
Portugal,PRT,2023,29049671020.38205,High income,29049671020.38205,$29 billion
Moldova,MDA,2023,1125711361.2027152,Upper middle income,1943436195.1832786,$1.1 billion
Romania,ROU,2023,20026283626.098557,High income,20026283626.098557,$20 billion
Russia,RUS,2023,145925057941.85513,Upper middle income,145925057941.85513,$145.9 billion
Serbia,SRB,2023,6532903972.125141,Upper middle income,7266574088.207951,$6.5 billion
Slovakia,SVK,2023,9844930633.307297,High income,9883471069.53606,$9.8 billion
Slovenia,SVN,2023,6430862362.804237,High income,7181280837.915329,$6.4 billion
Spain,ESP,2023,149382955545.27124,High income,149382955545.27124,$149.4 billion
Sweden,SWE,2023,65299198673.88099,High income,65299198673.88099,$65.3 billion
Switzerland,CHE,2023,104527765593.6744,High income,104527765593.6744,$104.5 billion
Tajikistan,TJK,2023,884660444.9545854,Lower middle income,1622118050.7699115,$884.7 million
Türkiye,TUR,2023,47808049010.73247,Upper middle income,47808049010.73247,$47.8 billion
Turkmenistan,TKM,2023,4281553292.411427,Upper middle income,5292989293.750728,$4.3 billion
United Kingdom,GBR,2023,370391179100.3002,High income,370391179100.3002,$370.4 billion
Uzbekistan,UZB,2023,6849474568.189363,Lower middle income,7529097880.265809,$6.8 billion
Bangladesh,BGD,2023,9167367040.835136,Lower middle income,9368789147.73256,$9.2 billion
India,IND,2023,121785364622.28296,Lower middle income,121785364622.28296,$121.8 billion
Maldives,MDV,2023,609641901.8110813,Upper middle income,1226891356.6789513,$609.6 million
Myanmar,MMR,2023,3041729335.3091135,Lower middle income,4095815872.531837,$3 billion
Nepal,NPL,2023,2493165588.081933,Lower middle income,3528282437.459064,$2.5 billion
Sri Lanka,LKA,2023,3083630469.0825872,Lower middle income,4138059644.93417,$3.1 billion
Thailand,THA,2023,23411191098.717964,Upper middle income,23411191098.717964,$23.4 billion
Australia,AUS,2023,184639029557.82413,High income,184639029557.82413,$184.6 billion
Cambodia,KHM,2023,1996131273.1040463,Lower middle income,2986357690.4520545,$2 billion
China,CHN,2023,1085969539219.632,Upper middle income,1085969539219.632,$1.1 trillion
Indonesia,IDN,2023,37054470157.2899,Lower middle income,37054470157.2899,$37.1 billion
Japan,JPN,2023,452485503574.496,High income,452485503574.496,$452.5 billion
Malaysia,MYS,2023,15818725467.539864,Upper middle income,15818725467.539864,$15.8 billion
Mongolia,MNG,2023,1234156565.3503902,Lower middle income,2082225177.0505886,$1.2 billion
New Zealand,NZL,2023,25849920469.401695,High income,25849920469.401695,$25.8 billion
Papua New Guinea,PNG,2023,884679599.1667929,Lower middle income,1622144391.646904,$884.7 million
Philippines,PHL,2023,22295194174.718166,Lower middle income,22295194174.718166,$22.3 billion
South Korea,KOR,2023,157516604670.02792,High income,157516604670.02792,$157.5 billion
Singapore,SGP,2023,22702507146.5916,High income,22702507146.5916,$22.7 billion
Vietnam,VNM,2023,19788659861.24052,Lower middle income,19788659861.24052,$19.8 billion
