Country,ISO3 Code,"GDP per capita (USD, 2022)",Curative care (% of current health expenditure),Preventive care (% of current health expenditure),year
Afghanistan,AFG,349.3199955888189,20.30307730975032,6.075573071940753,2022
Armenia,ARM,6773.514379094577,60.14058133862812,1.9593050448048777,2022
Australia,AUS,66440.14823883772,57.13443049301747,6.107961931521966,2021
Austria,AUT,52449.663466009086,50.50615400509418,7.440705017267707,2022
Bangladesh,BGD,2272.915897480655,30.006398043734237,8.103315888178098,2020
Belarus,BLR,7944.179719965559,62.53951709406194,2.852027238806482,2022
Belgium,BEL,50219.86372970345,46.65508441731368,2.500028725663934,2022
Bosnia and Herzegovina,BIH,7655.605109161804,57.89992292160146,2.274430049781163,2022
Botswana,BWA,8080.04371202932,50.40008511492774,21.48917986704503,2019
Brazil,BRA,9013.485558400858,50.24166240065504,4.344189596764982,2019
Bulgaria,BGR,13193.511591064866,50.08483170011219,3.089749442639518,2022
Burkina Faso,BFA,838.1363452853268,48.54618474892028,21.91497951869983,2022
Burundi,BDI,295.6786373273473,40.27343433792675,40.67503635252519,2020
Cabo Verde,CPV,4421.789762267305,61.92325273388507,8.927808647613947,2019
Cambodia,KHM,2322.2126473482263,76.11679894594769,7.966251331909099,2019
Cameroon,CMR,1612.9486038552045,40.32712532173341,6.618463459808232,2019
Canada,CAN,55677.8163457419,43.98985833564145,7.057494696410648,2022
Central African Republic,CAF,484.4513318551329,71.39832473132574,20.54785662724195,2019
Chad,TCD,887.6387422892386,42.34890469831922,13.388188162870412,2022
Chile,CHL,15377.969531367024,36.52975120597621,2.644185863716981,2022
China,CHN,12149.46293869624,74.3891804974294,9.177082985897933,2021
Comoros,COM,1489.4467208406688,54.603482949447375,12.989325069543543,2019
Congo,COG,2355.146406337041,43.6325489254365,31.49471095363922,2020
Costa Rica,CRI,13625.902500911285,73.31759278302783,2.1516808669980123,2022
Croatia,HRV,18629.322873764548,52.589410478730834,5.28830546270079,2022
Cyprus,CYP,32288.175184551517,64.06723571705706,2.536578911910285,2022
Czechia,CZE,27628.957475162228,53.12367190618809,5.205706056331298,2022
Côte d'Ivoire,CIV,2269.762717427056,28.911145452786116,26.350877040511204,2021
Democratic Republic of the Congo,COD,644.0889923802301,51.16252678896505,20.256069392003507,2022
