Country,ISO3 Code,"GDP per capita (USD, 2022)",Curative care (% of current health expenditure),Preventive care (% of current health expenditure),year
Denmark,DNK,68131.88868761326,57.66161790180192,4.978332193389951,2022
Dominican Republic,DOM,9490.46401076917,53.38720301784071,2.943971390661635,2019
Ecuador,ECU,6540.993812969184,70.56719899037526,1.0551152095556433,2022
Egypt,EGY,3400.08189131473,45.34091013581236,1.52324875948641,2020
El Salvador,SLV,5093.531077004209,51.67540879896457,12.977000994641534,2022
Estonia,EST,28608.587992967907,52.50439046680833,5.660527639054628,2022
Eswatini,SWZ,3709.071678930837,42.271828554121925,34.80926185045266,2019
Ethiopia,ETH,885.1970120120711,55.139001744999234,19.536235850809113,2020
Finland,FIN,50751.407769341466,55.44019986414977,6.378133436397447,2022
France,FRA,40946.11305212074,46.32229983430109,4.036382105607447,2022
Gabon,GAB,9034.546789742915,52.48007559654098,7.8176923586953455,2019
Gambia,GMB,817.7587894534383,47.86683177276381,17.825561334294065,2019
Georgia,GEO,5795.483822922803,55.16515756376201,2.3455393276588214,2019
Germany,DEU,49046.24563446035,43.43564358461724,7.848742625497005,2022
Ghana,GHA,2225.276143328211,56.7999348172694,16.71627537467752,2022
Greece,GRC,20801.701981405982,57.93810408092033,4.506736553148313,2022
Guatemala,GTM,5322.948798519375,43.55268566620511,6.338534981048536,2022
Guinea,GIN,1370.876445847163,20.931226747515968,15.81769128469052,2021
Guinea-Bissau,GNB,799.0310882536863,9.960747796827992,21.116351352902313,2021
Guyana,GUY,6434.903207997396,57.43122585922791,14.366021046316224,2019
Haiti,HTI,1809.3439926150215,34.757567510222614,6.067145322262799,2019
Hungary,HUN,18302.947416550796,55.250532332344854,2.8975301054238907,2022
Iceland,ISL,73784.99526523233,52.0275340589307,2.918337386420244,2022
India,IND,2232.259355762569,54.140714222419135,10.14887213003862,2019
Indonesia,IDN,4730.745497588182,62.89289226186904,21.57466417992052,2022
Iran (Islamic Republic of),IRN,4071.951895180976,56.02414772398535,8.334513257028378,2019
Iraq,IRQ,5672.231197282033,48.20914299393787,16.646305728760975,2021
Ireland,IRL,105363.52802391042,56.75082967690576,4.659736285633521,2022
Israel,ISR,55004.776177026775,68.454269098599,0.2610362146444621,2021
Italy,ITA,34723.564532779594,53.37954347566285,6.044309380317439,2022
Japan,JPN,33546.03681525187,54.82048714189065,3.5786120635504064,2021
Jordan,JOR,4341.824534601933,78.42090916119777,0.3657233501978139,2019
Kazakhstan,KAZ,11067.088157945012,68.13287712206838,2.630073761980713,2021
Kenya,KEN,1969.0312544948133,66.7245939159113,16.14565343832552,2019
Kyrgyzstan,KGZ,1750.2338488189823,58.83675030115892,3.3966270200648028,2019
Lao People's Democratic Republic,LAO,2059.2126687405507,60.391723490392266,9.956360541431764,2019
Latvia,LVA,21549.97962195208,53.13756075519649,2.8038553039559857,2022
Lebanon,LBN,6873.4514383806745,42.19117519385487,0.1988147343884914,2021
Liberia,LBR,878.1154007290856,20.799135840920368,13.556719672146643,2020
Lithuania,LTU,25259.901220968863,51.65184260282201,4.688125238614853,2022
Luxembourg,LUX,126498.55305180688,46.63105398102717,4.556021556874638,2022
Madagascar,MDG,494.9850875214201,28.933438410191428,28.718559245722957,2021
Malawi,MWI,620.1391267509562,37.29359066663661,7.221802036431208,2019
Malaysia,MYS,10927.487333058716,66.72526780869518,15.006099242288707,2021
Maldives,MDV,7933.701187173196,83.81008775429623,0.3673423341866299,2020
Mali,MLI,806.9499343136081,61.09039940370809,7.026987999201226,2020
Malta,MLT,35204.290343042885,49.00757790887339,1.1812888451940493,2022
Mauritania,MRT,1952.163896572111,33.19439999471314,8.009874427138731,2021
Mauritius,MUS,10463.576358930426,59.180270586750005,4.322798497362332,2019
Mexico,MEX,11377.718916906342,61.26357008770635,3.5583324178236095,2022
Mongolia,MNG,5063.908918435843,40.70823805784906,0.3141111242979826,2022
Montenegro,MNE,9695.562951277518,43.22071161097181,3.4764526669513853,2021
Morocco,MAR,3560.8541798747706,53.369969701561345,5.44014542233345,2019
Mozambique,MOZ,587.4130430600209,40.84339153525988,28.65400249657695,2018
Myanmar,MMR,1113.7636390428363,66.67662895742183,15.461650655956351,2022
Namibia,NAM,4781.680621228851,67.22885664542277,6.73151533130198,2019
Nepal,NPL,1265.892736888656,33.112411957718706,14.697609847501528,2021
Netherlands (Kingdom of the),NLD,57382.597813904846,44.83577773187358,5.695104317289816,2022
Niger,NER,608.988502891053,31.59178355607132,20.085577337278096,2022
Nigeria,NGA,2105.4313815530245,46.209404766097045,17.82016262728071,2021
North Macedonia,MKD,7370.898449430148,54.82004504914408,2.451262845930062,2022
Norway,NOR,109367.63479149292,46.96868107631231,3.0683722981914423,2022
Pakistan,PAK,1334.761673347452,64.7473472481494,2.5956848122109513,2022
Paraguay,PRY,6205.625973945806,47.75459241499848,4.934922023637913,2022
Philippines,PHL,3547.4634662094786,38.16053961492712,9.14897013051669,2022
Poland,POL,18653.55185383013,60.06270672818691,1.902543288604187,2022
Portugal,PRT,24651.81214027138,59.842611708013266,3.237378680728703,2022
Republic of Korea,KOR,32325.90460591352,54.26802787112683,8.653619135846146,2022
Republic of Moldova,MDA,5716.381937582577,57.97714726639557,4.865552986629835,2022
Romania,ROU,15694.302586357226,54.31534707950965,2.8379101946894267,2022
Russian Federation,RUS,15134.889692821238,64.31232733637366,3.525060812875638,2019
Sao Tome and Principe,STP,2461.703269830504,42.16952398439378,18.118457675223624,2021
Saudi Arabia,SAU,32921.03121334567,64.02447459329795,13.380455457262746,2021
Senegal,SEN,1545.7746938496416,28.37828200317663,15.671485430404694,2021
Serbia,SRB,9351.540257728022,47.79473079620039,2.5317346513750603,2022
Seychelles,SYC,17142.298062134178,55.44246746874221,19.51556048347689,2019
Sierra Leone,SLE,488.933289989506,70.88256257428576,14.645223805684688,2021
Slovakia,SVK,21245.22544637435,51.23928848462326,2.0448251148057373,2022
Slovenia,SVN,28504.18886589615,54.60064192914999,4.725620419568249,2022
South Africa,ZAF,6271.3749970615245,59.33912046662093,12.386181615302558,2020
South Sudan,SSD,827.4961247762102,54.95400116917719,23.412334115264255,2019
Spain,ESP,29890.65199381552,57.59854297143277,3.7944964377750177,2022
Sri Lanka,LKA,3770.529300069591,73.38628226175636,2.186049700852045,2018
Sudan,SDN,736.3998743616515,80.24643788423062,6.274622425163865,2020
Suriname,SUR,7118.231230613029,69.5182271987069,5.591526703550881,2019
Sweden,SWE,56611.14594494117,50.82545912334061,3.6059823305751713,2022
Switzerland,CHE,93652.24419522531,43.513874594690485,4.136653506457538,2022
Tajikistan,TJK,892.5459333837222,69.42142896130123,2.080126630642432,2019
Thailand,THA,6951.30488158535,70.01291116377482,7.600803618688736,2018
Timor-Leste,TLS,1310.0266354062414,68.59608424219508,7.852888959196487,2018
Togo,TGO,865.0380106314924,25.611506339243014,17.060151323054424,2021
Trinidad and Tobago,TTO,22301.01850937032,51.112834940081534,12.022446120888931,2018
Tunisia,TUN,3971.3822905537263,48.06899723805218,0.9396572098091496,2019
Uganda,UGA,997.9400393082342,55.54857891675003,20.244327195159354,2019
Ukraine,UKR,4897.909985036439,58.644129482630746,0.632696769699521,2020
United Arab Emirates,ARE,48028.56282348628,54.01310161018979,9.990090906214398,2021
United Kingdom of Great Britain and Northern Ireland,GBR,45567.57685127468,56.84741986474032,7.785453843682888,2022
United Republic of Tanzania,TZA,1091.9346993210518,61.246673717016186,13.362158482969283,2019
United States of America,USA,75377.84399300831,65.55679863956277,5.100156825167329,2022
Uruguay,URY,20690.22598116782,70.81729591086872,6.171945042946649,2022
Uzbekistan,UZB,2106.8839239108147,50.94612795143028,2.6211131868692705,2019
Zimbabwe,ZWE,1918.64653891671,56.280988293835875,26.447569220666253,2020
"occupied Palestinian territory, including east Jerusalem",PSE,3602.4368222540993,72.7383173048494,1.5315310472360943,2022
