country_name,iso3_code,gdp_usd2022_pc,year,indicator_code,value,connet,color,size,popup,indicator_name
Burundi,BDI,295.6786373273473,2020,hc6_ext_che,40.07583918149077,,ext,1,True,External expenditure on preventive care
Afghanistan,AFG,349.3199955888189,2022,hc6_ext_che,6.068352130361792,,ext,1,True,External expenditure on preventive care
Central African Republic,CAF,484.4513318551329,2019,hc6_ext_che,20.22956414479892,,ext,1,True,External expenditure on preventive care
Sierra Leone,SLE,488.933289989506,2021,hc6_ext_che,9.302355750470628,,ext,1,True,External expenditure on preventive care
Madagascar,MDG,494.9850875214201,2021,hc6_ext_che,26.739075824269715,,ext,1,True,External expenditure on preventive care
Mozambique,MOZ,587.4130430600209,2018,hc6_ext_che,26.628388565053942,,ext,1,True,External expenditure on preventive care
Niger,NER,608.988502891053,2022,hc6_ext_che,13.5256226624346,,ext,1,True,External expenditure on preventive care
Malawi,MWI,620.1391267509562,2019,hc6_ext_che,5.307232884952704,,ext,1,True,External expenditure on preventive care
Democratic Republic of the Congo,COD,644.0889923802301,2022,hc6_ext_che,19.163140017355325,,ext,1,True,External expenditure on preventive care
Sudan,SDN,736.3998743616515,2020,hc6_ext_che,2.5493473750684608,,ext,1,True,External expenditure on preventive care
Guinea-Bissau,GNB,799.0310882536863,2021,hc6_ext_che,18.867983292266192,,ext,1,True,External expenditure on preventive care
Gambia,GMB,817.7587894534383,2019,hc6_ext_che,13.936903515180717,,ext,1,True,External expenditure on preventive care
South Sudan,SSD,827.4961247762102,2019,hc6_ext_che,19.575454093433805,,ext,1,True,External expenditure on preventive care
Burkina Faso,BFA,838.1363452853268,2022,hc6_ext_che,13.234655275735632,,ext,1,True,External expenditure on preventive care
Mali,MLI,842.1461472074532,2019,hc6_ext_che,9.600157167362228,,ext,1,True,External expenditure on preventive care
Togo,TGO,865.0380106314924,2021,hc6_ext_che,13.050434625869064,,ext,1,True,External expenditure on preventive care
Liberia,LBR,878.1154007290856,2020,hc6_ext_che,10.873047016799292,,ext,1,True,External expenditure on preventive care
Ethiopia,ETH,885.1970120120711,2020,hc6_ext_che,13.665731322528885,,ext,1,True,External expenditure on preventive care
Chad,TCD,887.6387422892386,2022,hc6_ext_che,10.016381660166006,,ext,1,True,External expenditure on preventive care
Tajikistan,TJK,892.5459333837222,2019,hc6_ext_che,0.3526008405654713,,ext,1,True,External expenditure on preventive care
Uganda,UGA,997.9400393082342,2019,hc6_ext_che,18.07685098090493,,ext,1,True,External expenditure on preventive care
United Republic of Tanzania,TZA,1091.9346993210518,2019,hc6_ext_che,12.811518366923814,,ext,1,True,External expenditure on preventive care
Myanmar,MMR,1113.7636390428363,2022,hc6_ext_che,9.62123729648005,,ext,1,True,External expenditure on preventive care
Nepal,NPL,1265.892736888656,2021,hc6_ext_che,6.005380387697775,,ext,1,True,External expenditure on preventive care
Timor-Leste,TLS,1310.0266354062414,2018,hc6_ext_che,7.788654475686457,,ext,1,True,External expenditure on preventive care
Pakistan,PAK,1334.761673347452,2022,hc6_ext_che,0.3494290454433429,,ext,1,True,External expenditure on preventive care
Guinea,GIN,1370.876445847163,2021,hc6_ext_che,14.71797623610569,,ext,1,True,External expenditure on preventive care
Comoros,COM,1489.4467208406688,2019,hc6_ext_che,11.4356522379635,,ext,1,True,External expenditure on preventive care
Senegal,SEN,1545.7746938496416,2021,hc6_ext_che,10.426707760554,,ext,1,True,External expenditure on preventive care
Cameroon,CMR,1612.9486038552045,2019,hc6_ext_che,5.691929847471961,,ext,1,True,External expenditure on preventive care
Kyrgyzstan,KGZ,1750.2338488189823,2019,hc6_ext_che,1.5125149860705012,,ext,1,True,External expenditure on preventive care
Haiti,HTI,1809.3439926150215,2019,hc6_ext_che,5.2066641356288965,,ext,1,True,External expenditure on preventive care
Zimbabwe,ZWE,1918.64653891671,2020,hc6_ext_che,20.84950201147092,,ext,1,True,External expenditure on preventive care
Mauritania,MRT,1952.163896572111,2021,hc6_ext_che,3.993335851687847,,ext,1,True,External expenditure on preventive care
Kenya,KEN,1969.0312544948133,2019,hc6_ext_che,11.067396814214415,,ext,1,True,External expenditure on preventive care
Lao People's Democratic Republic,LAO,2059.2126687405507,2019,hc6_ext_che,7.230705301685449,,ext,1,True,External expenditure on preventive care
Nigeria,NGA,2105.4313815530245,2021,hc6_ext_che,6.55404111818164,,ext,1,True,External expenditure on preventive care
Uzbekistan,UZB,2106.8839239108147,2019,hc6_ext_che,0.0530640602418517,,ext,1,True,External expenditure on preventive care
Ghana,GHA,2225.276143328211,2022,hc6_ext_che,7.8931594491861,,ext,1,True,External expenditure on preventive care
India,IND,2232.259355762569,2019,hc6_ext_che,0.3327596040308676,,ext,1,True,External expenditure on preventive care
