country_name,iso3_code,gdp_usd2022_pc,year,indicator_code,value,connet,color,size,popup,indicator_name
Burundi,BDI,295.6786373273473,2020,hc1_che,40.27343433792675,,hc1,1,True,Curative care
Afghanistan,AFG,349.3199955888189,2022,hc1_che,20.30307730975032,,hc1,1,True,Curative care
Central African Republic,CAF,484.4513318551329,2019,hc1_che,71.39832473132574,,hc1,1,True,Curative care
Sierra Leone,SLE,488.933289989506,2021,hc1_che,70.88256257428576,,hc1,1,True,Curative care
Madagascar,MDG,494.9850875214201,2021,hc1_che,28.933438410191428,,hc1,1,True,Curative care
Mozambique,MOZ,587.4130430600209,2018,hc1_che,40.84339153525988,,hc1,1,True,Curative care
Niger,NER,608.988502891053,2022,hc1_che,31.59178355607132,,hc1,1,True,Curative care
Malawi,MWI,620.1391267509562,2019,hc1_che,37.29359066663661,,hc1,1,True,Curative care
Democratic Republic of the Congo,COD,644.0889923802301,2022,hc1_che,51.16252678896505,,hc1,1,True,Curative care
Sudan,SDN,736.3998743616515,2020,hc1_che,80.24643788423062,,hc1,1,True,Curative care
Guinea-Bissau,GNB,799.0310882536863,2021,hc1_che,9.960747796827992,,hc1,1,True,Curative care
Mali,MLI,806.9499343136081,2020,hc1_che,61.09039940370809,,hc1,1,True,Curative care
Gambia,GMB,817.7587894534383,2019,hc1_che,47.86683177276381,,hc1,1,True,Curative care
South Sudan,SSD,827.4961247762102,2019,hc1_che,54.95400116917719,,hc1,1,True,Curative care
Burkina Faso,BFA,838.1363452853268,2022,hc1_che,48.54618474892028,,hc1,1,True,Curative care
Togo,TGO,865.0380106314924,2021,hc1_che,25.611506339243014,,hc1,1,True,Curative care
Liberia,LBR,878.1154007290856,2020,hc1_che,20.799135840920368,,hc1,1,True,Curative care
Ethiopia,ETH,885.1970120120711,2020,hc1_che,55.139001744999234,,hc1,1,True,Curative care
Chad,TCD,887.6387422892386,2022,hc1_che,42.34890469831922,,hc1,1,True,Curative care
Tajikistan,TJK,892.5459333837222,2019,hc1_che,69.42142896130123,,hc1,1,True,Curative care
Uganda,UGA,997.9400393082342,2019,hc1_che,55.54857891675003,,hc1,1,True,Curative care
United Republic of Tanzania,TZA,1091.9346993210518,2019,hc1_che,61.246673717016186,,hc1,1,True,Curative care
Myanmar,MMR,1113.7636390428363,2022,hc1_che,66.67662895742183,,hc1,1,True,Curative care
Nepal,NPL,1265.892736888656,2021,hc1_che,33.112411957718706,,hc1,1,True,Curative care
Timor-Leste,TLS,1310.0266354062414,2018,hc1_che,68.59608424219508,,hc1,1,True,Curative care
Pakistan,PAK,1334.761673347452,2022,hc1_che,64.7473472481494,,hc1,1,True,Curative care
Guinea,GIN,1370.876445847163,2021,hc1_che,20.931226747515968,,hc1,1,True,Curative care
Comoros,COM,1489.4467208406688,2019,hc1_che,54.603482949447375,,hc1,1,True,Curative care
Senegal,SEN,1545.7746938496416,2021,hc1_che,28.37828200317663,,hc1,1,True,Curative care
Cameroon,CMR,1612.9486038552045,2019,hc1_che,40.32712532173341,,hc1,1,True,Curative care
Kyrgyzstan,KGZ,1750.2338488189823,2019,hc1_che,58.83675030115892,,hc1,1,True,Curative care
Haiti,HTI,1809.3439926150215,2019,hc1_che,34.757567510222614,,hc1,1,True,Curative care
Zimbabwe,ZWE,1918.64653891671,2020,hc1_che,56.280988293835875,,hc1,1,True,Curative care
Mauritania,MRT,1952.163896572111,2021,hc1_che,33.19439999471314,,hc1,1,True,Curative care
Kenya,KEN,1969.0312544948133,2019,hc1_che,66.7245939159113,,hc1,1,True,Curative care
Lao People's Democratic Republic,LAO,2059.2126687405507,2019,hc1_che,60.391723490392266,,hc1,1,True,Curative care
Nigeria,NGA,2105.4313815530245,2021,hc1_che,46.209404766097045,,hc1,1,True,Curative care
Uzbekistan,UZB,2106.8839239108147,2019,hc1_che,50.94612795143028,,hc1,1,True,Curative care
Ghana,GHA,2225.276143328211,2022,hc1_che,56.7999348172694,,hc1,1,True,Curative care
India,IND,2232.259355762569,2019,hc1_che,54.140714222419135,,hc1,1,True,Curative care
