country_name,year,gghed_gdp,gghed_usd2015_pc,gghed_usd2022_pc,pop,region,income_level,pop_annotation,africa_annotation,other_annotation
Afghanistan,2022,0.18147056,0.77384,0.6,40578842.00000001,Asia,Low income,40.6 million,,True
Angola,2022,1.51054609,48.025037,52.2,35635028.99999999,Africa,Lower middle income,35.6 million,True,
Albania,2022,2.7990038399999997,142.729352,187.3,2827607.9999999995,Europe,Upper middle income,2.8 million,,True
Andorra,2022,5.536981580000001,2201.519512,2345.3,79705.0,Europe,High income,0.1 million,,True
United Arab Emirates,2022,2.7693340799999997,1172.898717,1371.0,10242086.500000002,Asia,High income,10.2 million,,True
Argentina,2022,5.7569623,817.669051,800.2,45407904.0,Americas,Upper middle income,45.4 million,,True
Armenia,2022,1.7153586100000002,84.793202,116.2,2880874.5000000005,Asia,Upper middle income,2.9 million,,True
Antigua and Barbuda,2022,3.2893459799999993,540.594849,622.8,92840.0,Americas,High income,0.1 million,,True
Australia,2022,7.35998535,4239.701034,4990.5,26200984.500000004,Oceania,High income,26.2 million,,True
Austria,2022,8.643328669999999,4104.161428,4533.4,8978929.0,Europe,High income,9.0 million,,True
Azerbaijan,2022,1.20668018,66.369462,92.3,10295304.0,Asia,Upper middle income,10.3 million,,True
Burundi,2022,1.58699203,4.02271,4.7,13321097.5,Africa,Low income,13.3 million,True,
Belgium,2022,8.091326709999999,3566.057328,4063.5,11617623.000000002,Europe,High income,11.6 million,,True
Benin,2022,0.5155008999999999,6.281856,6.5,13759500.5,Africa,Lower middle income,13.8 million,True,
Burkina Faso,2022,2.72350121,19.437058,22.8,22509038.500000004,Africa,Low income,22.5 million,True,
Bangladesh,2022,0.1549107999999999,3.347156,4.0,169384897.50000003,Asia,Lower middle income,169.4 million,,True
Bulgaria,2022,4.7934579799999995,433.660026,632.4,6838937.0,Europe,High income,6.8 million,,True
Bahrain,2022,2.4909150600000003,597.03976,720.9,1533459.0,Asia,High income,1.5 million,,True
Bahamas,2022,4.06823969,1214.20442,1319.8,397538.5,Americas,High income,0.4 million,,True
Bosnia and Herzegovina,2022,5.734533789999999,362.823099,439.0,3204802.0,Europe,Upper middle income,3.2 million,,True
Belarus,2022,4.49853516,276.828219,357.4,9173237.0,Europe,Upper middle income,9.2 million,,True
Belize,2022,2.6371080900000003,164.389167,185.3,402733.00000000006,Americas,Upper middle income,0.4 million,,True
Bolivia (Plurinational State of),2022,5.887031079999999,188.094099,214.5,12077153.999999998,Americas,Lower middle income,12.1 million,,True
Brazil,2022,4.104905130000001,370.313185,381.0,210306414.5,Americas,Upper middle income,210.3 million,,True
Barbados,2022,2.8346071199999994,501.620078,586.4,282318.0,Americas,High income,0.3 million,,True
Brunei Darussalam,2022,1.67847669,479.241988,614.9,455369.49999999994,Asia,High income,0.5 million,,True
Bhutan,2022,2.14716125,72.362966,75.6,780914.5,Asia,Lower middle income,0.8 million,,True
Botswana,2022,4.30165005,308.449559,358.8,2439891.5,Africa,Upper middle income,2.4 million,True,
Central African Republic,2022,1.59287274,6.350317,7.7,5098039.500000001,Africa,Low income,5.1 million,True,
Canada,2022,8.0003376,3616.749475,4454.4,38821259.0,Americas,High income,38.8 million,,True
Switzerland,2022,4.09193945,3678.604161,3832.2,8739000.0,Europe,High income,8.7 million,,True
Chile,2022,5.07403803,723.621377,780.3,19553036.5,Americas,High income,19.6 million,,True
China,2022,2.9464595300000007,337.391086,369.0,1425179569.0000002,Asia,Upper middle income,1.4 billion,,True
Côte d'Ivoire,2022,1.3386573800000003,30.220463,31.7,30395002.0,Africa,Lower middle income,30.4 million,True,
Cameroon,2022,0.6712339499999999,9.800915,10.8,27632771.499999996,Africa,Lower middle income,27.6 million,True,
Democratic Republic of the Congo,2022,0.6958921599999999,3.657984,4.5,102396968.0,Africa,Low income,102.4 million,True,
Congo,2022,0.8055375799999999,13.555193,18.6,6035104.0,Africa,Lower middle income,6.0 million,True,
Colombia,2022,5.33477688,365.470723,356.1,51737943.49999999,Americas,Upper middle income,51.7 million,,True
Comoros,2022,0.8658953300000001,11.860133,12.7,834188.0000000001,Africa,Lower middle income,0.8 million,True,
Cabo Verde,2022,4.28369522,168.899746,183.5,519741.0,Africa,Upper middle income,0.5 million,True,
Costa Rica,2022,4.953631879999999,677.965402,675.0,5081764.5,Americas,High income,5.1 million,,True
Cyprus,2022,7.10785913,2168.047157,2295.0,904705.0,Asia,High income,0.9 million,,True
Czechia,2022,7.459114070000001,1503.077967,2060.9,10516706.999999998,Europe,High income,10.5 million,,True
Germany,2022,10.12543774,4415.856011,4966.1,83237124.0,Europe,High income,83.2 million,,True
Djibouti,2022,1.03265727,31.9581,33.8,1137096.0,Africa,Lower middle income,1.1 million,True,
Dominica,2022,4.506669520000001,360.129696,409.6,66826.5,Americas,Upper middle income,0.1 million,,True
Denmark,2022,7.955379009999999,4795.86508,5420.1,5873420.0,Europe,High income,5.9 million,,True
Dominican Republic,2022,2.67142582,232.78917,270.1,11230733.5,Americas,Upper middle income,11.2 million,,True
Algeria,2022,1.71722472,78.089662,85.2,45477389.50000001,Africa,Upper middle income,45.5 million,True,
Ecuador,2022,4.598728660000001,281.96393,300.8,17823897.0,Americas,Upper middle income,17.8 million,,True
Egypt,2022,1.7829283500000002,76.407115,64.8,112618249.5,Africa,Lower middle income,112.6 million,True,
Spain,2022,7.20880365,2004.223052,2154.8,47432893.0,Europe,High income,47.4 million,,True
Estonia,2022,5.224678519999999,1107.590739,1494.7,1331796.0,Europe,High income,1.3 million,,True
Ethiopia,2022,0.7207686299999999,6.076437,6.8,125384286.5,Africa,Not classified,125.4 million,True,
Finland,2022,7.894019129999999,3655.289127,4006.3,5569299.000000001,Europe,High income,5.6 million,,True
Fiji,2022,2.7877862500000004,149.805273,151.0,919422.0,Oceania,Upper middle income,0.9 million,,True
France,2022,8.9622221,3471.419023,3669.7,67871925.0,Europe,High income,67.9 million,,True
Micronesia (Federated States of),2022,1.12128794,33.989694,43.0,112113.5,Oceania,Lower middle income,0.1 million,,True
Gabon,2022,1.83213091,123.061826,158.5,2430747.0000000005,Africa,Upper middle income,2.4 million,True,
United Kingdom of Great Britain and Northern Ireland,2022,9.179559709999998,4330.927731,4182.9,67791000.0,Europe,High income,67.8 million,,True
Georgia,2022,3.06025243,171.73181,201.5,3794783.5,Asia,Upper middle income,3.8 million,,True
Ghana,2022,2.0508227299999997,42.116083,45.6,33149152.0,Africa,Lower middle income,33.1 million,True,
Guinea,2022,0.7289885900000002,7.19533,10.1,14055136.999999998,Africa,Lower middle income,14.1 million,True,
Gambia,2022,1.52435625,10.78065,12.9,2636470.0000000005,Africa,Low income,2.6 million,True,
Guinea-Bissau,2022,1.09963667,8.10805,9.0,2105529.0,Africa,Low income,2.1 million,True,
Equatorial Guinea,2022,0.7646970200000001,36.321601,49.9,1803545.0,Africa,Upper middle income,1.8 million,True,
Greece,2022,4.5971598600000005,939.223488,956.3,10459782.0,Europe,High income,10.5 million,,True
Grenada,2022,1.99874532,188.003488,210.5,116913.0,Americas,Upper middle income,0.1 million,,True
Guatemala,2022,2.42621732,105.692728,129.1,17847877.0,Americas,Upper middle income,17.8 million,,True
Guyana,2022,2.15520215,369.467799,381.1,821637.0,Americas,High income,0.8 million,,True
Honduras,2022,3.3738544000000004,83.936547,102.3,10463872.0,Americas,Lower middle income,10.5 million,,True
Croatia,2022,6.09427309,7702.825139,1135.3,3862305.000000001,Europe,High income,3.9 million,,True
Haiti,2022,0.34204665,4.293195,5.6,11503606.000000002,Americas,Lower middle income,11.5 million,,True
Hungary,2022,4.839203360000001,790.974328,885.7,9689010.0,Europe,High income,9.7 million,,True
Indonesia,2022,1.3944067999999998,56.122594,66.0,278830528.5,Asia,Upper middle income,278.8 million,,True
India,2022,1.2928915,27.187261,31.1,1425423212.5,Asia,Lower middle income,1.4 billion,,True
Ireland,2022,4.73404694,4682.316391,4988.0,5060004.0,Europe,High income,5.1 million,,True
Iran (Islamic Republic of),2022,2.62993145,143.295629,116.9,89524246.50000001,Asia,Upper middle income,89.5 million,,True
Iraq,2022,2.1849322300000003,94.814921,129.6,44070550.99999999,Asia,Upper middle income,44.1 million,,True
Iceland,2022,7.86343193,4464.532127,5802.0,380355.5,Europe,High income,0.4 million,,True
Israel,2022,4.87933254,2172.026178,2807.2,9103151.0,Asia,High income,9.1 million,,True
Italy,2022,6.720133779999999,2218.383148,2333.5,59030132.99999999,Europe,High income,59.0 million,,True
Jamaica,2022,5.927616120000001,307.820833,357.0,2839144.0,Americas,Upper middle income,2.8 million,,True
Jordan,2022,2.49221253,97.370492,107.7,11256263.5,Asia,Lower middle income,11.3 million,,True
Japan,2022,9.824341769999998,3558.747119,3345.4,124997578.0,Asia,High income,125.0 million,,True
Kazakhstan,2022,2.30152369,252.772666,259.0,20034609.0,Asia,Upper middle income,20.0 million,,True
Kenya,2022,2.02182531,35.139021,42.3,54252460.5,Africa,Lower middle income,54.3 million,True,
Kyrgyzstan,2022,2.6434192700000003,32.039132,46.1,6955788.0,Asia,Lower middle income,7.0 million,,True
Cambodia,2022,1.17248797,23.617627,27.3,17201723.5,Asia,Lower middle income,17.2 million,,True
Kiribati,2022,8.488914489999999,166.05011,176.0,130468.5,Oceania,Lower middle income,0.1 million,,True
Saint Kitts and Nevis,2022,2.93025994,610.080417,610.6,46709.5,Americas,High income,0.0 million,,True
Republic of Korea,2022,5.920369629999999,1968.040157,1913.8,51782511.50000001,Asia,High income,51.8 million,,True
Kuwait,2022,3.7239341700000006,981.294216,1483.3,4589510.499999999,Asia,High income,4.6 million,,True
Lao People's Democratic Republic,2022,0.6265041799999999,15.794211,12.8,7559007.5,Asia,Lower middle income,7.6 million,,True
Lebanon,2022,1.96468723,103.386108,134.4,5744488.499999999,Asia,Lower middle income,5.7 million,,True
Liberia,2022,1.29002357,1205.957208,9.5,5373294.0,Africa,Low income,5.4 million,True,
Libya,2022,3.1484828,220.653165,188.5,7223804.5,Africa,Upper middle income,7.2 million,True,
Saint Lucia,2022,2.133026839999999,235.597034,274.0,178781.0,Americas,Upper middle income,0.2 million,,True
Sri Lanka,2022,1.75683677,69.069157,58.6,22834965.0,Asia,Lower middle income,22.8 million,,True
Lesotho,2022,6.40886402,58.886913,67.7,2286110.5,Africa,Lower middle income,2.3 million,True,
Lithuania,2022,4.73151922,900.8262,1195.2,2805998.0,Europe,High income,2.8 million,,True
Luxembourg,2022,4.83443642,5312.862211,6115.5,645396.9999999999,Europe,High income,0.6 million,,True
Latvia,2022,4.933448790000001,862.349827,1063.2,1875757.0,Europe,High income,1.9 million,,True
Morocco,2022,2.3239212,78.437483,81.5,37329064.0,Africa,Lower middle income,37.3 million,True,
