Country,ISO3 code,Year,Domestic general government health expenditure (percent of GDP),Domestic general government health expenditure per capita (constant 2022 US$),Population,Domestic general government health expenditure per capita (constant 2015 US$),Income level,Region
Maldives,MDV,2022,7.543621540000001,899.2593503401789,524106.5000000001,837.456903,Upper middle income,Asia
Mexico,MEX,2022,2.9689946199999997,337.8038608284806,128613117.5,296.661611,Upper middle income,Americas
Marshall Islands,MHL,2022,4.4169340099999985,285.4469768196222,40077.0,249.076785,Upper middle income,Oceania
North Macedonia,MKD,2022,4.33453941,319.494504376163,1840233.0,262.712241,Upper middle income,Europe
Mali,MLI,2022,1.4302290699999998,11.582075283738048,23072640.0,10.143202,Low income,Africa
Malta,MLT,2022,6.381880279999999,2246.695584488414,520971.0,1986.402257,High income,Europe
Myanmar,MMR,2022,0.57522529,6.406650201668411,53756787.5,5.657951,Lower middle income,Asia
Montenegro,MNE,2022,6.8782925599999984,697.1636276714781,614647.5,544.871222,Upper middle income,Europe
Mongolia,MNG,2022,3.11989594,157.9886835906468,3386015.0000000005,133.070205,Upper middle income,Asia
Mozambique,MOZ,2022,2.7056972999999997,15.25078417800598,32656246.000000004,15.720407,Low income,Africa
Mauritania,MRT,2022,1.75979567,35.485331070379566,4875637.5,28.479337,Lower middle income,Africa
Mauritius,MUS,2022,2.7463455200000007,278.66840068875194,1276129.5,287.633213,Upper middle income,Africa
Malawi,MWI,2022,0.8776150900000002,5.354596464812911,20568728.0,4.796299,Low income,Africa
Malaysia,MYS,2022,1.97598696,231.81124003734345,34695493.0,220.487033,Upper middle income,Asia
Namibia,NAM,2022,4.2423048,185.08900105236887,2889662.5,167.868783,Lower middle income,Africa
Niger,NER,2022,1.53595936,9.35381613708508,25311973.0,8.695148,Low income,Africa
Nigeria,NGA,2022,0.6193938900000001,13.186070645191435,223150895.5,14.897801,Lower middle income,Africa
Nicaragua,NIC,2022,5.159249310000002,120.12721059167714,6730653.5,112.520349,Lower middle income,Americas
Netherlands (Kingdom of the),NLD,2022,6.922546389999999,3972.33700159248,17590672.0,3478.969591,High income,Europe
Norway,NOR,2022,6.809732440000002,7447.643295863394,5425269.999999999,5426.761399,High income,Europe
Nepal,NPL,2022,2.10599875,27.92839952106937,29715435.999999996,23.249628,Lower middle income,Asia
Nauru,NRU,2022,15.790369990000002,1967.6378697607304,11800.999999999998,1209.233131,High income,Oceania
New Zealand,NZL,2022,8.146823880000001,3902.887508859543,5131734.500000001,3461.543401,High income,Oceania
Oman,OMN,2022,2.4607405699999996,596.5101685205991,4730226.0,482.698403,High income,Asia
Pakistan,PAK,2022,1.10801363,14.789342030404368,243700667.0,18.064366,Lower middle income,Asia
Panama,PAN,2022,4.757729529999999,827.2994792437604,4400772.999999999,760.136585,High income,Americas
Peru,PER,2022,3.91110182,286.1922358412438,33475438.000000004,265.783644,Upper middle income,Americas
Philippines,PHL,2022,2.32400513,82.44323226419026,113964338.5,83.13122,Lower middle income,Asia
Palau,PLW,2022,5.796433929999999,802.9296542598121,17759.0,739.388186,High income,Oceania
Papua New Guinea,PNG,2022,1.53210604,47.46472809082809,10203169.5,37.748826,Lower middle income,Oceania
Poland,POL,2022,4.684138299999999,873.758208377571,36889761.0,799.784481,High income,Europe
Portugal,PRT,2022,6.530534270000001,1609.8950692368355,10352042.0,1441.483294,High income,Europe
Paraguay,PRY,2022,4.08453465,253.4709369216156,6760464.0,253.981886,Upper middle income,Americas
"occupied Palestinian territory, including east Jerusalem",PSE,2022,3.9269774,141.4668810446971,5305269.999999999,34.350431,Lower middle income,Asia
Qatar,QAT,2022,1.7926851499999998,1464.2808589412457,2892455.0,1061.717701,High income,Asia
Romania,ROU,2022,4.464989189999999,700.7488781815316,19042454.999999996,545.711148,High income,Europe
Russian Federation,RUS,2022,4.88805008,761.6431466245222,145579899.0,490.968195,High income,Europe
Rwanda,RWA,2022,2.8098130200000004,27.401369851980512,13651029.999999998,26.649632,Low income,Africa
Saudi Arabia,SAU,2022,3.618283270000001,1246.646027011329,32175351.5,879.42253,High income,Asia
Sudan,SDN,2022,1.18913412,8.129831533202088,49383000.0,14.890172,Low income,Africa
Senegal,SEN,2022,0.8960161199999999,14.05325665697002,17651103.0,12.858263,Lower middle income,Africa
Singapore,SGP,2022,2.77292442,2446.4779167991614,5649884.499999999,1848.255108,High income,Asia
Solomon Islands,SLB,2022,3.32158995,66.61424040047508,781066.0,64.206493,Lower middle income,Oceania
Sierra Leone,SLE,2022,1.51291788,7.484455573168877,8276806.500000001,9.276056,Low income,Africa
El Salvador,SLV,2022,6.12128019,311.7893164248503,6280319.0,266.260197,Upper middle income,Americas
San Marino,SMR,2022,6.5595202399999994,3431.855471345302,34089.99999999999,3254.579269,High income,Europe
Somalia,SOM,2022,0.17265649,1.0106117954732574,17801897.0,0.789363,Low income,Africa
Serbia,SRB,2022,5.95365191,556.7581501901074,6797105.000000001,436.460571,Upper middle income,Europe
South Sudan,SSD,2022,0.58035421,4.241350793338281,11021177.5,6.074815,Low income,Africa
