year,Africa (median),Algeria,Benin,Cabo Verde,Cameroon,Congo,Equatorial Guinea,Eritrea,Liberia,Madagascar,Mauritania,Morocco,Namibia,Niger,Nigeria,South Africa,Sudan,Togo
2012,6.05739069,10.06144714,5.24633551,8.86496925,3.731803420000001,2.67131019,1.4893149099999998,2.3728718799999995,5.046602249999999,12.93699551,4.166985510000001,5.695454120000001,11.04577351,6.249121189999999,3.66798377,14.46731377,9.06086254,6.10906744
2013,6.00545788,11.70106602,5.1338048,9.02955627,2.50095606,2.2095162900000007,1.4593858700000002,2.3728718799999995,1.24849629,10.268065449999998,5.38500309,6.00545788,10.91460514,6.555336479999999,3.45903826,14.33791637,7.517609599999998,4.68965626
2014,6.072990889999998,11.41803741,4.04459238,9.98307133,2.9397316,1.9499675,1.49042463,2.3728718799999995,2.46118927,13.92414951,5.24069929,6.83858538,9.29264355,5.40269423,3.336380000000001,14.9161272,10.61807156,4.55810213
2015,5.554437639999999,10.60481071,3.254780050000001,10.09395409,1.8129396399999995,2.70981026,1.3336329499999997,2.3728718799999995,3.2433903199999996,15.27427959,5.530210970000001,6.97614002,9.645800590000002,4.586344720000001,5.3312463800000005,15.237735749999995,6.66369581,4.03825331
2016,5.998897079999999,10.60594082,3.05096745,10.392424580000002,1.8129396399999995,2.8850231200000005,2.4965152699999997,2.3728718799999995,3.89701653,17.51086807,5.75632954,7.023114680000001,10.46828175,5.685809139999999,4.8661375,15.28983974,12.92873669,4.2586369500000005
2017,6.030759095,10.606039999999998,2.56150651,10.392424580000002,0.73440903,3.41114736,2.9438476600000003,2.3728718799999995,3.9551458399999992,15.032087330000005,6.0655999199999995,7.123536109999999,10.65234089,9.66281414,4.4423522900000005,15.28983974,8.324994090000002,6.450406070000001
2018,5.716774464999999,10.606168750000002,2.71143031,10.392424580000002,1.95703375,3.4871990700000004,3.22602749,2.3728718799999995,5.166229249999999,10.42956638,4.797127720000001,7.181965349999999,9.98526669,8.349277500000001,3.8811214,15.28983974,6.17103291,5.4890213
2019,5.721498964999999,8.830361370000002,2.13318133,10.165415759999998,2.1798591600000004,5.10725212,3.84795237,2.3728718799999995,4.19834614,4.44415092,6.177919859999999,7.394980909999998,9.685552599999998,9.37940311,3.75164723,15.28983974,5.56284285,5.381740089999999
2020,6.881201265,8.83030605,2.7194826599999997,12.7326889,3.65950561,8.21684074,5.348382950000001,2.3728718799999995,3.7481868299999994,4.21817684,5.4164910299999995,7.2206831,10.74061012,10.34436893,4.18345547,16.88567543,9.58832169,3.85122466
2021,7.150420184999998,8.828529360000001,1.6007707099999997,17.09349632,2.86053681,8.21684074,5.355689529999999,2.3728718799999995,3.730201239999999,5.377794270000001,7.204095359999999,7.221797939999999,11.23579884,8.747357370000001,4.30794764,16.88567543,7.861412049999998,2.5608844799999995
2022,5.97543216,5.361367700000001,2.59515929,16.0616703,3.93554211,3.52587986,4.44624233,2.3728718799999995,4.79117155,5.74065638,6.28199959,6.820218559999999,11.73687458,7.1149826,4.30794764,16.88567543,6.719818120000001,2.5608844799999995
