year,actual_spending,entity,expected_spending,units
2010,6911645518951.403,World,,Constant 2022 US$
2011,7108931616517.932,World,,Constant 2022 US$
2012,7315890456270.417,World,,Constant 2022 US$
2013,7496999942972.14,World,,Constant 2022 US$
2014,7780545290226.067,World,,Constant 2022 US$
2015,8135196096225.525,World,,Constant 2022 US$
2016,8403399520440.688,World,,Constant 2022 US$
2017,8621416299360.049,World,,Constant 2022 US$
2018,8852013317851.918,World,,Constant 2022 US$
2019,9157211544274.627,World,9157211544274.627,Constant 2022 US$
2020,9817396976854.19,World,9506129656499.62,Constant 2022 US$
2021,10008555589431.955,World,9868342629114.154,Constant 2022 US$
2022,9843924068865.97,World,10244357037462.375,Constant 2022 US$
