year,income_level,actual_spending,expected_spending,units
2010,High income,5795115574984.849,,Constant 2022 US$
2010,Low income,17563684357.39577,,Constant 2022 US$
2010,Lower middle income,218924484307.93457,,Constant 2022 US$
2010,Upper middle income,880029492753.4448,,Constant 2022 US$
2011,High income,5930075848219.894,,Constant 2022 US$
2011,Low income,17001411624.771593,,Constant 2022 US$
2011,Lower middle income,228874574977.76236,,Constant 2022 US$
2011,Upper middle income,932965925104.005,,Constant 2022 US$
2012,High income,6047933874812.659,,Constant 2022 US$
2012,Low income,17111280345.381826,,Constant 2022 US$
2012,Lower middle income,241679987005.51138,,Constant 2022 US$
2012,Upper middle income,1009155087888.0999,,Constant 2022 US$
2013,High income,6131920326580.895,,Constant 2022 US$
2013,Low income,18773987379.51671,,Constant 2022 US$
2013,Lower middle income,259646219792.276,,Constant 2022 US$
2013,Upper middle income,1086647919806.8787,,Constant 2022 US$
2014,High income,6340724999073.275,,Constant 2022 US$
2014,Low income,19881207707.209198,,Constant 2022 US$
2014,Lower middle income,272922750512.09717,,Constant 2022 US$
2014,Upper middle income,1147003390477.402,,Constant 2022 US$
2015,High income,6594294940690.967,,Constant 2022 US$
2015,Low income,20018134834.14096,,Constant 2022 US$
2015,Lower middle income,291999628178.05536,,Constant 2022 US$
2015,Upper middle income,1228872804706.4226,,Constant 2022 US$
2016,High income,6791448968052.872,,Constant 2022 US$
2016,Low income,21165656356.860226,,Constant 2022 US$
2016,Lower middle income,308519316959.66223,,Constant 2022 US$
2016,Upper middle income,1282253812969.374,,Constant 2022 US$
2017,High income,6935249091630.302,,Constant 2022 US$
2017,Low income,22720534133.80297,,Constant 2022 US$
2017,Lower middle income,305054250456.3745,,Constant 2022 US$
2017,Upper middle income,1358381979498.9924,,Constant 2022 US$
2018,High income,7078475712439.493,,Constant 2022 US$
2018,Low income,22119165246.335617,,Constant 2022 US$
2018,Lower middle income,311058914951.55066,,Constant 2022 US$
2018,Upper middle income,1434685884530.3848,,Constant 2022 US$
2019,High income,7280754981179.824,7280754981179.824,Constant 2022 US$
2019,Low income,23221798906.778057,23221798906.778057,Constant 2022 US$
2019,Lower middle income,317906476904.13776,317906476904.13776,Constant 2022 US$
2019,Upper middle income,1531613595499.2546,1531613595499.2546,Constant 2022 US$
2020,High income,7811031522996.72,7523854911185.363,Constant 2022 US$
2020,Low income,24773556801.379864,24607056743.585926,Constant 2022 US$
2020,Lower middle income,332479026024.67004,335290408189.76605,Constant 2022 US$
2020,Upper middle income,1644214704200.4053,1628848842395.2014,Constant 2022 US$
2021,High income,7901785451397.721,7775071798308.874,Constant 2022 US$
2021,Low income,25725605495.610382,26074949835.40315,Constant 2022 US$
2021,Lower middle income,369666909062.4887,353624936864.5585,Constant 2022 US$
2021,Upper middle income,1706446160178.849,1732257117048.7363,Constant 2022 US$
2022,High income,7730008643702.327,8034676662755.314,Constant 2022 US$
2022,Low income,26217637554.685745,27630407651.090343,Constant 2022 US$
2022,Lower middle income,365782608515.0775,372962044001.23315,Constant 2022 US$
2022,Upper middle income,1716009991382.6157,1842230317181.2344,Constant 2022 US$
